site_df_n,site_df_d,site_F,site_p,site_p.adj,treatment_df_n,treatment_df_d,treatment_F,treatment_p,treatment_p.adj,SxT_df_n,SxT_df_d,SxT_F,SxT_p,SxT_p.adj
Family_Wt,5,69,4.09328373483679,0.00259166090680839,1.46e-02,3,69,0.461822842219152,0.709851881951152,8.34e-01,15,69,2.15049418145144,0.0169031801899443,7.08e-02
Days_to_germ,5,69,0.985112926480071,0.433244132637698,6.72e-01,3,69,1.00300685700255,0.396835298657392,6.61e-01,15,69,1.39850104582792,0.173042432277219,4.23e-01
Diameter,5,69,1.19941751419522,0.318696797331763,5.52e-01,3,69,1.68249651343767,0.178789070493424,4.23e-01,15,69,1.54298008343039,0.114307522571571,3.21e-01
Height,5,69,13.0792587666074,5.84977051473589e-09,5.26e-08,3,69,1.49305968604501,0.224099813131191,4.71e-01,15,69,1.29362481035144,0.230202050657244,4.71e-01
larg_leaf_length,5,69,2.9617330130405,0.0176304277183523,7.08e-02,3,69,1.26667006424332,0.292661168932608,5.27e-01,15,69,1.86017662544921,0.0431927683921241,1.39e-01
larg_leaf_width,5,69,1.28616463335215,0.279908298467727,5.25e-01,3,69,0.452250256891681,0.716529744691337,8.34e-01,15,69,1.4974682976571,0.130566593368069,3.46e-01
larg_leaf_thick,5,69,6.29290538226378,7.25066815268216e-05,5.44e-04,3,69,3.54615945997122,0.0188713651691895,7.08e-02,15,69,0.880870349452863,0.587614473146223,8.01e-01
avg_ave_thick,5,69,4.49849263151757,0.00131726814484081,8.47e-03,3,69,3.41833750840694,0.0219979480648063,7.61e-02,15,69,1.27117660134618,0.244219518417267,4.78e-01
TLP_avg,5,60,1.45144325122635,0.21924580357666,4.71e-01,3,60,26.0665228721369,6.41727287604074e-11,7.22e-10,14,60,0.650874931710301,0.811070496530094,8.76e-01
area_avg,5,68,1.0177483881331,0.414171330827486,6.66e-01,3,68,0.240759050039129,0.867612446566909,9.08e-01,15,68,0.655126652328088,0.817887784456148,8.76e-01
dry_mass_avg,5,61,0.769310913459205,0.575531427229861,8.01e-01,3,61,0.574772033825092,0.633780179011826,8.15e-01,15,61,0.545265847210201,0.903686444883601,9.24e-01
soil_mass_avg,5,66,0.912516374622791,0.478462446824131,6.95e-01,3,66,146.6538082472,3.94708922086565e-29,1.78e-27,15,66,0.178090457854776,0.999694352110241,1.00e+00
soil_WP_avg,5,60,0.914550888934813,0.477834598098375,6.95e-01,3,60,59.9610360492615,4.79452826507979e-18,1.08e-16,15,60,1.69423246871768,0.0766209710790775,2.30e-01
leaf_WP_avg,5,67,0.701392087301606,0.624324201347497,8.15e-01,3,67,51.0136396174177,2.77532424457462e-17,4.16e-16,15,67,0.752940900972637,0.722504531393333,8.34e-01
WP_avg_leaf_soil_diff,5,60,0.526693209029358,0.755141401920187,8.50e-01,3,60,4.82038532682532,0.00450597540210124,2.25e-02,15,60,0.776439250110251,0.697434194253617,8.34e-01
