mom,aet,aprpck,cwd,pet,ppt,rch,run,tmn,tmx,trange,elev,AHM,bFFP,CMD,DD_0,DD_18,DD18,DD5,eFFP,EMT,Eref,EXT,FFP,MAP,MAR,MAT,MCMT,MSP,MWMT,NFFD,PAS,PPT_sm,PPT_wt,RH,SHM,Tave_sm,Tave_wt,TD
63,290.130004882812,0,1112.08666992188,1412.02331542969,303.986694335938,6.90999984741211,0,9.14000034332275,24.9766998291016,15.8366994857788,122,91.6999969482422,60,1202,27,1402,1068,4475,333,-12.8000001907349,1476,45.2999992370605,273,296,20.7999992370605,17.1000003814697,7.30000019073486,19,27.5,334,2,4,148,53,1451.09997558594,26.1000003814697,8.39999961853027,20.2000007629395
64,289.5,0,1114.68334960938,1413.91674804688,302.986694335938,6.60330009460449,0,9.14000034332275,25.0266990661621,15.8866987228394,129,92.5999984741211,60,1207,27,1403,1067,4473,333,-12.8000001907349,1476,45.2999992370605,273,293,20.7999992370605,17.1000003814697,7.30000019073486,19,27.5,334,2,4,146,53,1456.80004882812,26.1000003814697,8.39999961853027,20.2000007629395
65,289.5,0,1114.68334960938,1413.91674804688,302.986694335938,6.60330009460449,0,9.14000034332275,25.0266990661621,15.8866987228394,127,92.5999984741211,60,1207,27,1403,1067,4473,333,-12.8000001907349,1476,45.2999992370605,273,293,20.7999992370605,17.1000003814697,7.30000019073486,19,27.5,334,2,4,146,53,1456.80004882812,26.1000003814697,8.39999961853027,20.2000007629395
66,293.346710205078,0,1111.02331542969,1413.93334960938,305.123291015625,4.93669986724854,0,9.14330005645752,25.0333003997803,15.8900003433228,125,92.5999984741211,60,1207,27,1403,1067,4473,333,-12.8000001907349,1476,45.2999992370605,273,293,20.7999992370605,17.1000003814697,7.30000019073486,19,27.5,334,2,4,146,53,1456.80004882812,26.1000003814697,8.39999961853027,20.2000007629395
68,293.346710205078,0,1111.02331542969,1413.93334960938,305.123291015625,4.93669986724854,0,9.14330005645752,25.0333003997803,15.8900003433228,127,90.4000015258789,59,1205,26,1396,1080,4493,334,-12.6999998092651,1481,45.5,274,301,20.7999992370605,17.2000007629395,7.40000009536743,19,27.6000003814697,334,2,4,150,53,1459.40002441406,26.2000007629395,8.5,20.2000007629395
69,294.716705322266,0,1110.69995117188,1414.806640625,308.973297119141,7.43330001831055,0,9.15330028533936,25.0666999816895,15.9133996963501,129,90.4000015258789,59,1205,26,1396,1080,4493,334,-12.6999998092651,1481,45.5,274,301,20.7999992370605,17.2000007629395,7.40000009536743,19,27.6000003814697,334,2,4,150,53,1459.40002441406,26.2000007629395,8.5,20.2000007629395
70,296.576690673828,0,1108.4599609375,1414.36669921875,308.513305664062,5.15670013427734,0,9.16329956054688,25.0666999816895,15.9034004211426,130,90.5,59,1210,26,1390,1091,4509,334,-12.6000003814697,1485,45.5999984741211,275,301,20.7999992370605,17.2000007629395,7.40000009536743,19,27.7000007629395,335,2,4,150,53,1471.19995117188,26.2000007629395,8.5,20.2999992370605
206,303.079986572266,0,966.309997558594,1310.28674316406,499.323303222656,164.286697387695,4.88670015335083,4.48000001907349,24.9099998474121,20.4299998283386,293.1,48.5999984741211,114,1139,28,1704,477,3584,303,-17.2000007629395,1515,44.9000015258789,189,508,18.7000007629395,14.6999998092651,7.90000009536743,22,22.6000003814697,290,3,3,284,43,1030.59997558594,21.3999996185303,8.5,14.8000001907349
208,303.079986572266,0,966.309997558594,1310.28674316406,499.323303222656,164.286697387695,4.88670015335083,4.48000001907349,24.9099998474121,20.4299998283386,298.4,48.5999984741211,114,1139,28,1704,477,3584,303,-17.2000007629395,1515,44.9000015258789,189,508,18.7000007629395,14.6999998092651,7.90000009536743,22,22.6000003814697,290,3,3,284,43,1030.59997558594,21.3999996185303,8.5,14.8000001907349
209,303.079986572266,0,966.309997558594,1310.28674316406,499.323303222656,164.286697387695,4.88670015335083,4.48000001907349,24.9099998474121,20.4299998283386,298.4,48.5999984741211,114,1139,28,1704,477,3584,303,-17.2000007629395,1515,44.9000015258789,189,508,18.7000007629395,14.6999998092651,7.90000009536743,22,22.6000003814697,290,3,3,284,43,1030.59997558594,21.3999996185303,8.5,14.8000001907349
210,303.079986572266,0,966.309997558594,1310.28674316406,499.323303222656,164.286697387695,4.88670015335083,4.48000001907349,24.9099998474121,20.4299998283386,299.6,52.2000007629395,112,1154,28,1686,494,3618,303,-17.2000007629395,1523,45.0999984741211,191,475,18.7999992370605,14.8000001907349,7.90000009536743,21,22.7999992370605,292,3,3,262,43,1100.5,21.5,8.5,14.8999996185303
211,395.88330078125,0,868.273315429688,1305.06335449219,502.910003662109,79.7767028808594,0,4.44329977035522,24.9067001342773,20.4634003639221,313.3,48.5999984741211,114,1139,28,1704,477,3584,303,-17.2000007629395,1515,44.9000015258789,189,508,18.7000007629395,14.6999998092651,7.90000009536743,22,22.6000003814697,290,3,3,284,43,1030.59997558594,21.3999996185303,8.5,14.8000001907349
212,395.88330078125,0,868.273315429688,1305.06335449219,502.910003662109,79.7767028808594,0,4.44329977035522,24.9067001342773,20.4634003639221,315.4,48.5999984741211,114,1139,28,1704,477,3584,303,-17.2000007629395,1515,44.9000015258789,189,508,18.7000007629395,14.6999998092651,7.90000009536743,22,22.6000003814697,290,3,3,284,43,1030.59997558594,21.3999996185303,8.5,14.8000001907349
214,293.933288574219,0,889.690002441406,1250,322.463287353516,0.246700003743172,0,5.42999982833862,20.8132991790771,15.3832993507385,973,82.6999969482422,78,1006,36,1818,613,3616,329,-14.1000003814697,1291,41.7000007629395,250,299,20,14.6999998092651,7,24,24.2999992370605,321,2,5,144,58,1029.69995117188,22.7999992370605,7.5,17.2999992370605
217,259.463287353516,0,937.900024414062,1250.72668457031,325.029998779297,23.3733005523682,16.7367000579834,6.12669992446899,20.5867004394531,14.4600005149841,977,82.6999969482422,78,1006,36,1818,613,3616,329,-14.1000003814697,1291,41.7000007629395,250,299,20,14.6999998092651,7,24,24.2999992370605,321,2,5,144,58,1029.69995117188,22.7999992370605,7.5,17.2999992370605
218,260.153289794922,0,926.369995117188,1245.27331542969,326.25,22.9400005340576,16.9232997894287,6.00670003890991,20.5200004577637,14.5133004188538,980,82.6999969482422,78,1006,36,1818,613,3616,329,-14.1000003814697,1291,41.7000007629395,250,299,20,14.6999998092651,7,24,24.2999992370605,321,2,5,144,58,1029.69995117188,22.7999992370605,7.5,17.2999992370605
