sample,site,treatment,family,lane,library_prep
063-04,CENT,control1,063,1,1
069-15,CENT,drought1,069,1,1
206-08,HUNT,control1,206,1,3
208-02,HUNT,drought1,208,1,2
214-16,TEJO,control1,214,1,1
214-13,TEJO,drought1,214,1,2
345-01,MACR,drought1,345,1,2
513-08,PLAT,control1,513,1,3
509-06,PLAT,drought1,509,1,2
533-09,REDI,control1,533,1,3
529-13,REDI,drought1,529,1,1
068-11,CENT,control1,068,2,1
063-13,CENT,drought1,063,2,3
206-07,HUNT,control1,206,2,2
208-01,HUNT,drought1,208,2,1
220-13,TEJO,drought1,220,2,3
345-04,MACR,control1,345,2,1
514-06,PLAT,control1,514,2,2
509-15,PLAT,drought1,509,2,1
530-13,REDI,control1,530,2,2
533-07,REDI,drought1,533,2,2
065-13,CENT,control1,065,3,3
063-11,CENT,drought1,063,3,2
210-09,HUNT,control1,210,3,2
211-13,HUNT,drought1,211,3,3
217-08,TEJO,control1,217,3,1
214-14,TEJO,drought1,214,3,3
349-13,MACR,control1,349,3,3
350-15,MACR,drought1,350,3,1
508-09,PLAT,control1,508,3,2
529-11,REDI,control1,529,3,2
533-11,REDI,drought1,533,3,1
068-12,CENT,control1,068,4,3
063-09,CENT,drought1,063,4,3
210-08,HUNT,control1,210,4,1
214-15,TEJO,control1,214,4,2
349-14,MACR,control1,349,4,2
345-03,MACR,drought1,345,4,3
508-01,PLAT,control1,508,4,1
512-10,PLAT,drought1,512,4,1
533-02,REDI,control1,533,4,3
529-05,REDI,drought1,529,4,3
