,Treatment,Family_Wt,Days_to_germ,Diameter,Height,larg_leaf_length,larg_leaf_width,larg_leaf_thick,avg_ave_thick,TLP_avg,area_avg,dry_mass_avg,soil_mass_avg,soil_WP_avg,leaf_WP_avg,Latitude,Longitude,Elevation.m.,SiteCENT,SiteHUNT,SiteMACR,SitePLAT,SiteREDI,SiteTEJO
063-04,0,120.9,61,2.83,250,70,30,0.17,0.09,-2.0881,22154,0.0229,367.9,-0.981,-1.27,36.7252,-119.4591,122,1,0,0,0,0,0
063-09,1,120.9,61,2.16,210,50,30,0.14,0.06,-2.2285,31848,0.0544,202.8,-0.73,-1.14,36.7252,-119.4591,122,1,0,0,0,0,0
063-11,1,120.9,61,2.47,205,65,35,0.11,0.09,-2.6954,52080,0.056,175,-1.32,-1.566,36.7252,-119.4591,122,1,0,0,0,0,0
063-13,1,120.9,61,2.54,165,60,30,0.16,0.1,-2.3221,45742,0.0832,NA,-1.72,-0.91,36.7252,-119.4591,122,1,0,0,0,0,0
065-13,0,73.5,124,2.61,215,80,50,0.16,0.06,-1.488,31447,0.0454,372.3,-0.63,-0.75,36.74577,-119.47493,127,1,0,0,0,0,0
068-11,0,112.7,75,2.17,75,45,25,0.17,0.11,-2.0444,35923,0.08735,362.1,-1.57,-0.808,36.74918,-119.47121,127,1,0,0,0,0,0
068-12,0,112.7,75,1.63,70,40,30,0.16,0.09,-2.0371,35454,0.06525,379.1,-0.43,-0.95,36.74918,-119.47121,127,1,0,0,0,0,0
206-07,0,106.9,82,1.93,80,50,35,0.17,0.12,-2.1297,57445,0.1554,360.5,-0.82,-0.99,35.9796,-121.23371,293.1,0,1,0,0,0,0
206-08,0,106.9,82,2.1,115,60,30,0.17,0.12,-2.2472,50661,0.1065,348.1,-0.74,-0.981,35.9796,-121.23371,293.1,0,1,0,0,0,0
208-01,1,137.4,103,2.69,110,60,30,0.16,0.13,-2.3117,48685,0.114,170.4,-1.71,-1.79,35.97922,-121.23337,298.4,0,1,0,0,0,0
208-02,1,137.4,103,2.44,100,60,30,0.16,0.1,-2.3346,30312,0.06375,251.1,-0.48,-0.967,35.97922,-121.23337,298.4,0,1,0,0,0,0
210-08,0,119.3,110,2.16,85,55,30,0.17,0.1,-2.2201,14767,0.0361,369.1,-0.94,-1.39,35.98042,-121.2328,299.6,0,1,0,0,0,0
210-09,0,119.3,69,2.7,105,65,40,0.17,0.09,-2.4177,54970,0.0566,347.6,-0.823,-1.41,35.98042,-121.2328,299.6,0,1,0,0,0,0
211-13,1,129.9,75,2.45,70,45,35,0.19,0.1,-2.2669,NA,0.0599,167.4,-1.58,-1.455,35.97619,-121.23695,313.3,0,1,0,0,0,0
214-13,1,82.6,82,2.25,90,55,35,0.17,0.09,-2.4229,26869,0.04785,214.4,-0.63,-0.728,34.87458,-118.89292,973,0,0,0,0,0,1
214-14,1,82.6,82,2.34,160,65,35,0.17,0.11,-2.6528,17617,0.0484,178.3,-1.67,-1.55,34.87458,-118.89292,973,0,0,0,0,0,1
214-15,0,82.6,82,2.31,105,45,25,0.16,0.11,-2.1973,22922,0.05405,374.9,-1.28,-1.05,34.87458,-118.89292,973,0,0,0,0,0,1
214-16,0,82.6,82,1.93,110,50,30,0.19,0.1,-2.1317,39091,0.10215,354.2,-0.64,-0.68,34.87458,-118.89292,973,0,0,0,0,0,1
217-08,0,92.4,82,1.45,60,40,25,0.17,0.07,-2.3169,15470,0.03335,369.3,-0.678,-1.87,34.87443,-118.89521,977,0,0,0,0,0,1
220-13,1,146.8,89,2.15,105,55,30,0.16,0.1,-2.5925,35395,0.08865,227.8,-1.6,-1.212,34.87311,-118.8935,972,0,0,0,0,0,1
345-01,1,196.2,89,4.08,200,100,50,0.13,0.1,-2.2201,22146,0.1838,255.4,-0.789,-1.01,34.09538,-118.71702,154,0,0,1,0,0,0
345-03,1,196.2,89,3.01,120,85,40,0.17,0.1,-2.5675,13299,0.03395,189.5,-0.923,-1.8,34.09538,-118.71702,154,0,0,1,0,0,0
345-04,0,196.2,110,3.23,130,80,45,0.17,0.12,-2.2472,10852,0.0401,NA,-0.93,-2.55,34.09538,-118.71702,154,0,0,1,0,0,0
349-13,0,130.5,96,1.54,60,25,20,0.19,0.11,-2.0828,60763,0.136,384.6,-0.498,-0.65,34.09605,-118.71721,164,0,0,1,0,0,0
349-14,0,130.5,110,2.14,60,55,40,0.13,0.13,-2.0683,32917,0.0535,379.1,-0.395,-1.377,34.09605,-118.71721,164,0,0,1,0,0,0
350-15,1,139.6,89,2.48,110,70,45,0.13,0.09,-2.5062,26207,0.1445,206.6,-0.47,-1.08,34.09808,-118.71538,160,0,0,1,0,0,0
508-01,0,141.2,69,2.41,70,50,30,0.16,0.11,-2.3553,47034,0.09915,365.8,-0.4,-1.1,40.28987,-122.60182,220,0,0,0,1,0,0
508-09,0,141.2,110,1.63,90,60,25,0.14,0.1,-2.3418,16268,0.0294,376,-0.6775,-1.18,40.28987,-122.60182,220,0,0,0,1,0,0
509-06,1,73.8,82,1.75,135,55,30,0.14,0.06,-2.4739,36072,0.07405,214.5,-1.135,-1.425,40.28982,-122.61132,224,0,0,0,1,0,0
509-15,1,73.8,159,1.51,90,55,25,0.14,0.1,-2.6081,65825,0.165,174.8,-1.54,-1.788,40.28982,-122.61132,224,0,0,0,1,0,0
512-10,1,209.9,82,3.75,125,55,50,0.16,0.09,-2.4001,43949,0.114,162.7,-2.62,-2.31,40.31898,-122.78387,459,0,0,0,1,0,0
513-08,0,148.9,69,2.01,160,55,35,0.13,0.08,-2.5082,45585,0.0788,359.7,NA,-1.887,40.31919,-122.78493,460,0,0,0,1,0,0
514-06,0,163.6,61,1.99,65,55,40,0.16,0.1,-2.2212,47368,0.0765,344.9,-0.42,-1.19,40.31926,-122.7851,459,0,0,0,1,0,0
529-05,1,115.2,69,2.21,110,70,35,0.15,0.09,-2.607,99806,0.227,159.4,-1.005,-2.83,40.57071,-122.37843,146,0,0,0,0,1,0
529-11,0,115.2,89,1.63,90,70,35,0.15,0.1,-2.529,34439,0.0807,345.5,-1.01,-0.89,40.57071,-122.37843,146,0,0,0,0,1,0
529-13,1,115.2,82,2.02,95,60,30,0.12,0.11,-2.2462,18845,0.04965,189.4,-0.462,-1.62,40.57071,-122.37843,146,0,0,0,0,1,0
530-13,0,190.2,96,3.55,115,75,50,0.13,0.12,-2.3293,44749,0.121,365.6,-0.45,-1.36,40.57021,-122.37802,146,0,0,0,0,1,0
533-02,0,107.8,75,2.54,155,50,30,0.14,0.09,-2.3002,24029,0.05425,356.7,-0.631,-1.094,40.61291,-122.34833,178,0,0,0,0,1,0
533-07,1,107.8,89,2.02,85,55,30,0.15,0.1,-2.138,31730,0.0595,210.3,-1.07,-1.77,40.61291,-122.34833,178,0,0,0,0,1,0
533-09,0,107.8,96,2.34,130,70,35,0.15,0.1,-2.3772,19926,0.04695,362,-0.892,-0.972,40.61291,-122.34833,178,0,0,0,0,1,0
533-11,1,107.8,96,1.82,125,60,35,0.14,0.07,-2.372,32394,0.0556,204.5,-1.324,-1.09,40.61291,-122.34833,178,0,0,0,0,1,0
