m01oak00001CC	AT5G62080
m01oak00002CC	AT2G38540
m01oak00013cC	AT3G22840
m01oak00014cI	AT1G31812
m01oak00015CC	AT5G27200
m01oak00016Ct	AT2G21660
m01oak00024cC	AT5G24510
m01oak00025cT	AT3G53740
m01oak00026Cz	AT3G06680
m01oak00032cC	AT3G02560
m01oak00035ct	AT2G47590
m01oak00041cC	AT1G79040
m01oak00045cC	AT3G48930
m01oak00048cF	AT5G08640
m01oak00050ct	AT2G37220
m01oak00051cC	AT3G16640
m01oak00059cf	AT5G48760
m01oak00065CC	AT1G44575
m01oak00070cT	AT5G48480
m01oak00073cC	AT2G42840
m01oak00079cC	AT1G20693
m01oak00085cf	AT1G08830
m01oak00087CC	AT4G09320
m01oak00094cC	AT2G45180
m01oak00099cC	AT4G10450
m01oak00108CC	AT2G36460
m01oak00109CC	AT4G03210
m01oak00123cC	AT4G27090
m01oak00125CC	AT4G38970
m01oak00128CC	AT1G13950
m01oak00138cC	AT3G52580
m01oak00140CT	AT1G26880
m01oak00143CC	AT1G03130
m01oak00144cF	AT2G28000
m01oak00148cC	AT4G16830
m01oak00154CC	AT3G04770
m01oak00156jC	AT4G26850
m01oak00159cC	AT1G70600
m01oak00160ct	AT2G23350
m01oak00162cC	AT5G27700
m01oak00180CF	AT2G21060
m01oak00181CC	AT5G13930
m01oak00190cC	AT3G56940
m01oak00191CC	AT3G10950
m01oak00192cC	AT5G55190
m01oak00195cC	AT5G09810
m01oak00196CC	AT3G12390
m01oak00197CC	AT5G41520
m01oak00200CC	AT5G47120
m01oak00202cC	AT3G18610
m01oak00204CC	AT5G64350
m01oak00207CC	AT5G39850
m01oak00215jC	AT5G56710
m01oak00216cC	AT1G06680
m01oak00217Ci	AT4G13850
m01oak00218Ct	AT1G27950
m01oak00220cC	AT1G18080
m01oak00222JC	AT1G21750
m01oak00227cC	AT3G01500
m01oak00232cT	AT1G17880
m01oak00237Ci	AT2G21870
m01oak00238cF	AT4G02450
m01oak00240cC	AT5G20630
m01oak00241cC	AT2G45290
m01oak00243CI	AT5G28840
m01oak00252JC	AT1G56070
m01oak00258cC	AT2G19070
m01oak00266cC	AT4G12800
m01oak00269cC	AT4G10340
m01oak00271CC	AT3G62410
m01oak00278cC	AT5G42300
m01oak00281cC	AT5G05270
m01oak00282CC	AT1G66240
m01oak00283cC	AT4G29410
m01oak00286JC	AT3G51240
m01oak00291cf	AT3G54890
m01oak00292jT	AT3G43190
m01oak00295CC	AT3G16150
m01oak00298CC	AT1G78380
m01oak00301CT	AT4G03280
m01oak00306CC	AT3G58610
m01oak00307CC	AT3G52560
m01oak00311CC	AT3G52130
m01oak00313CC	AT1G65930
m01oak00316cC	AT3G26420
m01oak00319cT	AT1G05850
m01oak00320CT	AT5G25610
m01oak00323cT	AT1G24510
m01oak00325cf	AT4G38770
m01oak00332cC	AT5G05370
m01oak00341cT	AT5G13450
m01oak00345cC	AT5G36230
m01oak00346jC	AT5G23940
m01oak00348cC	AT3G18000
m01oak00349CC	AT5G19760
m01oak00352cf	AT1G20580
m01oak00355CC	AT1G15820
m01oak00358CC	AT1G52230
m01oak00360cC	AT4G13930
m01oak00363cC	AT5G17920
m01oak00364cT	AT2G37660
m01oak00366cF	AT4G22670
m01oak00370cT	AT3G20390
m01oak00373CT	AT5G50920
m01oak00378Ct	AT5G61030
m01oak00383CC	AT4G30960
m01oak00388Ct	AT5G46110
m01oak00396CC	AT5G35630
m01oak00398CC	AT4G05180
m01oak00400CC	AT3G08940
m01oak00402jC	AT5G14040
m01oak00408CC	AT3G11660
m01oak00412CF	AT4G15480
m01oak00414cC	AT4G15802
m01oak00415CT	AT1G61520
m01oak00420cC	AT1G65980
m01oak00421CC	AT2G06520
m01oak00423sC	AT5G50250
m01oak00425cC	AT2G23090
m01oak00432cC	AT3G61470
m01oak00434CC	AT5G09510
m01oak00436cC	AT2G36530
m01oak00438cC	AT5G60640
m01oak00444CT	AT2G28190
m01oak00449JC	AT3G23990
m01oak00452CC	AT2G26250
m01oak00458ct	AT4G20360
m01oak00459cF	AT1G18650
m01oak00460cC	AT1G33430
